modell,språk,CER,WER,aligned semantic distance,semantic distance,semantic distance (sBERT),dialect
azure,nob,0.15870700070668156,0.2423501971455545,0.24669371386518463,0.06955354158268416,0.12053083733710492,nord
azure,nob,0.15834539478133836,0.25605990934769757,0.2848270848860121,0.08838608939467937,0.14674761509700432,sørvest
azure,nob,0.15239752795639533,0.24333246004715745,0.26790499286784747,0.07991495717309874,0.13363720317271593,trøndersk
azure,nob,0.15398657154846832,0.2404394237744844,0.2785216834511093,0.08890582507542835,0.14834575255402882,vest
azure,nob,0.16126288238180925,0.24016452635875538,0.2928276143785906,0.10075695942928016,0.15124487797094127,øst
chirp,nob,0.10318690587457542,0.18115177430999055,0.22765621906183447,0.0791328186319211,0.11579925861469535,nord
chirp,nob,0.19329879475699,0.2806936871838665,0.3506052921546655,0.1426232673166883,0.2087814974633268,sørvest
chirp,nob,0.08573989348952091,0.17044799580822637,0.229839316531598,0.07191276393732923,0.10859150113800004,trøndersk
chirp,nob,0.07579731430969366,0.1526583065602653,0.22590713588942174,0.08128581113800473,0.11778885483000176,vest
chirp,nob,0.16123670865368886,0.23567458946905712,0.33839487072145197,0.13912778226094158,0.19397193754238018,øst
chirp_2,nob,0.10263979756992728,0.17981895929360805,0.2271638642103191,0.080885573928386,0.11866616376397435,nord
chirp_2,nob,0.1902958323751809,0.28003678644156865,0.3501171575761216,0.14204248469272165,0.20923360172561037,sørvest
chirp_2,nob,0.08445801590361948,0.16934765522661777,0.2275367479786489,0.07022980783714806,0.10568743714919454,trøndersk
chirp_2,nob,0.0758497691984893,0.15302103844958026,0.22764585156280917,0.08198646262496662,0.11938324802400163,vest
chirp_2,nob,0.1629118272533944,0.23655373795095608,0.34230827174300754,0.14100660549392927,0.19494255553749512,øst
facebook_mms-1b-all,nno,0.2716018535344358,0.6718819351975144,0.8549132169178743,0.27178008830398054,0.3683873404863695,nord
facebook_mms-1b-all,nno,0.2804199376277019,0.667476206104365,0.893169663972736,0.29741620822563486,0.39881516758904034,sørvest
facebook_mms-1b-all,nno,0.275201843050165,0.6639065038519993,0.8875432944363896,0.27890996319044375,0.3841337715371688,trøndersk
facebook_mms-1b-all,nno,0.2793094455745058,0.6771221532091097,0.9035658975520583,0.30377086162752537,0.40418084598440407,vest
facebook_mms-1b-all,nno,0.3158878870009382,0.6945777276005896,0.8769961794769175,0.3279645559556336,0.41592230281230463,øst
facebook_mms-1b-all,nob,0.22905601021268834,0.588993169323041,0.8478296737871527,0.2553083392823105,0.35766296539195747,nord
facebook_mms-1b-all,nob,0.25026039200833256,0.6175523878341983,0.8946157699256392,0.28980747311901334,0.3939822120735799,sørvest
facebook_mms-1b-all,nob,0.23199899951017686,0.5805082525543621,0.8696267465616808,0.25991968444319646,0.3710958341496523,trøndersk
facebook_mms-1b-all,nob,0.2453629878304658,0.6192351539019587,0.904529204555346,0.2939872194319083,0.39610262583610983,vest
facebook_mms-1b-all,nob,0.258753476198266,0.5852931018242331,0.8641000526534657,0.30519606303264324,0.40492270342166115,øst
gcloud,nob,0.1622518065972143,0.24473815738323984,0.31773770950066643,0.10849825816632168,0.1720074256865411,nord
gcloud,nob,0.1968969388721306,0.29324049136175523,0.3996282771534346,0.15273727848787505,0.23605643999132647,sørvest
gcloud,nob,0.17760778714579012,0.27057898873460834,0.3704544464457669,0.12693787700239753,0.20122833015994776,trøndersk
gcloud,nob,0.18374947545111203,0.2703388952223028,0.3667173970473193,0.14206028443472937,0.2239494178195022,vest
gcloud,nob,0.23790610175036805,0.3119721184338598,0.4203928064428196,0.17423473986252927,0.25310460463382356,øst
nb-wav2vec2-1b-bokmaal-v2,nob,0.11000296350331684,0.22874437718664964,0.3414982065072861,0.09449265558732428,0.14091710876906705,nord
nb-wav2vec2-1b-bokmaal-v2,nob,0.13593139177837596,0.27918281547658147,0.4319720398577478,0.12986508144453152,0.1943367428935516,sørvest
nb-wav2vec2-1b-bokmaal-v2,nob,0.12017341823601138,0.25491223473932406,0.38895679717880594,0.10968825847301875,0.16903045751140444,trøndersk
nb-wav2vec2-1b-bokmaal-v2,nob,0.1274024339068401,0.26443154731060214,0.41937124625360855,0.12890379068269328,0.19539013245428333,vest
nb-wav2vec2-1b-bokmaal-v2,nob,0.1568002617372812,0.2915947125498446,0.4854582205162602,0.16976191189352044,0.23177487870582023,øst
nb-wav2vec2-1b-nynorsk,nno,0.18085589678357258,0.3915335108743897,0.5041115140446532,0.13431049049007227,0.19709224633752553,nord
nb-wav2vec2-1b-nynorsk,nno,0.18089310678567588,0.38254020347883166,0.5439352779438766,0.1571254480653844,0.2323449761839372,sørvest
nb-wav2vec2-1b-nynorsk,nno,0.192897615242523,0.4110371573816886,0.5883141533442788,0.15649008516075463,0.2356941738003414,trøndersk
nb-wav2vec2-1b-nynorsk,nno,0.17381734731132323,0.37484472049689443,0.5463448312663788,0.15969096446296843,0.2335970216831931,vest
nb-wav2vec2-1b-nynorsk,nno,0.2481171166475555,0.4978517891303666,0.6936682794331029,0.21742109782015714,0.3132433810833441,øst
nb-whisper-large,nno,0.14331955297110666,0.2500554815801154,0.2006312320762768,0.06529540489952548,0.06129139240611215,nord
nb-whisper-large,nno,0.1387111517367459,0.2258615031178208,0.21346390366935913,0.06793647912499255,0.08211465135257313,sørvest
nb-whisper-large,nno,0.1776115066104896,0.2825323620355327,0.25256850773560596,0.08067049754269796,0.08839548875422233,trøndersk
nb-whisper-large,nno,0.135565639180097,0.2227743271221532,0.21449364159257453,0.07025057221089326,0.08563600214050493,vest
nb-whisper-large,nno,0.2149614302095278,0.311004484586195,0.26508772017132987,0.0935979055046104,0.10839268672683504,øst
nb-whisper-large,nob,0.10118084209086557,0.15227411562170268,0.1479628421061089,0.03624742658065765,0.04642980661716356,nord
